とりあえず自分用にメモ
そのうち整理します
細かく書けるに越したことは無いんだろうけど、キリが無いので現状は割と適当
欲しいフラグ（シチュエーション）があったらリクエストしてください


TARGET	口上を表示するキャラID(CFLAGなどの省略表記用)
ARG:0	状況ID
ARG:1	状況ID（サブ）
ARGS:0	キャラ名（戦闘中以外などの口上では殆どが主人公名）
ARGS:1	敵などの名前
ARG:2	雑多なフラグ　各状況IDにて詳細解説
ARG:3	雑多なフラグ　各状況IDにて詳細解説
ARG:4	雑多なフラグ　各状況IDにて詳細解説
ARG:5	Reserved
ARG:6	Reserved



状況IDリスト
※ DC は　Don't Care ＝ 無視してOK

ARG:0	ARG:1
24		コマンドID	敵の性攻撃（回避）　ARG:2に部位
25		コマンドID	敵の拘束攻撃（回避）
26		コマンドID	敵の寄生攻撃（回避）
27		コマンドID	敵のその他攻撃（回避）


31		敵ID		敵を撃破
32		状況			HPが0になった（0でダメージ、1で射精）
33		DC			MPが0になった
34		絶頂部位	EPが0になった　ARG:2で細かい状況を分岐させる予定　※絶頂の瞬間とはまた別 絶頂メッセージは120
35		破れ強度	CPが減少した　（ARG:1が　0：全裸になった　1：半裸になった　2：破れ始めた）
36		アイテムID	アイテムを使って貰った　ARG:2にアイテム使用キャラID
37		敵ID		敵IDに丸呑みされていて届かない（呑まれている側口上）
38		敵ID		敵IDに丸呑みされていて届かない（行動した側口上）
39		DC			通常攻撃を受けてひるんだ
40		敵ID		寄生された
41		コマンドID	攻撃されて起きた		ARG:2に攻撃の種類　ARG:3に部位
42		敵ID		敵から解放された
43		DC			時間経過で起きた
44		DC			煙幕が治った
45		DC			砂煙が治った
46		羞恥フラグ	裸で時間経過　（ARG:1が　0：恥薄い　1：通常　2：恥じらい）　ARG:2にMPダメージ
47		部位		重度汚染部屋で時間経過　ARG:2にEPダメージ
48		DC			ターン終了時自慰発生
49		DC			眠り継続
50		DC			カウンター中
51		DC			カウンター発動
52		拘束レベル	拘束レベルアップ　ARG:2に丸呑みフラグ
53		DC			拘束レベルMAX継続　ARG:2に丸呑みフラグ
54		イベントID	戦闘開始時　(ARG:1が	0：通常戦闘　1：クイーン戦　2：ガーディアン戦)	また(ARG:2が	0：普通の敵パーティ	1:悪堕ちキャラがいるパーティ	2:娘がいるパーティ)	ARG:3で悪堕ちキャラのIDor娘キャラの親のIDを判別可能
55		イベントID	戦闘から普通に逃げた
56		イベントID	戦闘で敗北
57		イベントID	戦闘で勝利　(ARG:1が	0：通常戦闘　1：クイーン戦　2：ガーディアン戦)	また(ARG:2が	0：普通の敵パーティ	1:悪堕ちキャラがいるパーティ	2:娘がいるパーティ)	ARG:3で悪堕ちキャラのIDor娘キャラの親のIDを判別可能
58		敵ID		拘束攻撃が当たったが、先客が居たので何とかなった
59		敵ID		戦闘中に捕食されている
60		イベントID	先制攻撃・不意打ち発生　ARG:2に先制状況（1：先制攻撃　2：敵の不意打ち　3：敵に寝こみを襲われた）
61		敵種族ID	ARG:1 の種族と初遭遇　娘だった場合ARG:2で母親のIDを、悪堕ちキャラだった場合ARG:2で味方だった時のIDを判別
62		イベントID	仲間を見捨てて逃げた　ARG:2に見捨てたキャラ１　ARG:3に見捨てたキャラ２　(あまり使わないだろうけど、ARG:4が0でPT残留、1でPT離脱)
63		イベントID	仲間に見捨てられた(仲間に逃げられた)　ARG:2に見捨てられたキャラ１　ARG:3に見捨てられたキャラ２　(あまり使わないだろうけど、ARG:4が0でPT残留、1でPT離脱)


101		遭遇キャラ	迷宮内で[遭遇キャラ]と会った　ARG:2に喪失キャラフラグ
102		遭遇キャラ	遭遇時会話：別れた　ARG:2に喪失キャラフラグ
103		遭遇キャラ	遭遇時会話：雑談　ARG:2は昔の名残で常に１
104		遭遇キャラ	遭遇時会話：情報交換　ARG:2は昔の名残で常に０
105		遭遇キャラ	遭遇時会話：アイテム強請り成功　ARG:2にアイテムID　ARG:3に喪失キャラフラグ
106		遭遇キャラ	遭遇時会話：アイテム強請り失敗　ARG:2に喪失キャラフラグ
107		遭遇キャラ	遭遇時会話：勧誘成功　ARG:2に喪失キャラフラグ
108		遭遇キャラ	遭遇時会話：勧誘失敗
109		DC			PT本加入時（共闘以外のルートでPT入りした場合の共通口上　……あんまり使わないかも？）
110		対象キャラ	離脱時　ARG:2が　0：確認　1：別れた  ※主人公の方も呼ばれる点に注意
111		遭遇キャラ	遭遇時逆襲：アイテム取られる　ARG:2にアイテムID
112		遭遇キャラ	遭遇時逆襲：攻撃される
113		アイテムID	探索でアイテムを見つけた
114		状態		睡眠開始　（ARG:1が　0：見張り無し　1：PTで見張り　2：ARG:2のキャラが見張り）　ARG:2に見張りNPC
115		DC			重度汚染部屋で睡眠開始
116		部位		重度汚染部屋で睡眠　ARG:2にEPダメージ
117		DC			睡眠時自慰発生
118		部位		自慰メッセージ　ARG:2に道具ありフラグ
119		部位		自慰で絶頂失敗
120		部位		絶頂の瞬間　ARG:2にMPダメージ
121		部位		発情がおさまった
122		部位		戦意喪失中に絶頂
123		敵ID		母乳を吸われる　ARG:2に回復量
124		DC			Reserved
125		残り時間	寄生が進行
126		残り時間	妊娠が進行
127		状況		寄生・出産イベント　（ARG:1が　0：最初　1：産まれた　2：吸われた）
128		DC			Reserved
129		状況		妊娠・出産イベント　（ARG:1が　0：最初　1：産まれた　2：吸われた）　ARG:2に子供の種類
130		DC			部屋の浄化実行
131		眠気		眠気が進行
132		DC			部屋を移動：突撃
133		DC			部屋を移動：慎重
134		DC			部屋を移動：待ち伏せ
135		DC			探索開始
136		状況		処女喪失　（ARG:1は喪失原因　0：敵の攻撃　1：自慰　2：出産）　ARG:2にMP減少量　ARG:3が1の場合、喪失の直前　2の場合、喪失を防いだ
137		遭遇キャラ	遭遇時会話：固定イベント情報取得　ARG:2にイベントID（100未満の場合、そのキャラが捕食されているという情報）　ARG:3に会話状況（0：雑談で聞いた　1：情報収集で聞いた） ※情報提供側(NPC側)口上
138		遭遇キャラ	遭遇時会話：アイテム強請り開始　ARG:2に喪失キャラフラグ
139		アイテムID	遭遇時会話：アイテムを強請られた　（ARG:1は渡したアイテム。0なら失敗）　※主人公ではなく、強請られた側のキャラの口上　喪失中のアイテム盗難はCFLAG:29をチェック
140		状況		PTに勧誘された　（ARG:1が0：通常　1：共闘）　ARG:2が0：失敗　1：成功　※主人公ではなく、誘われた側のキャラの口上
141		遭遇キャラ	遭遇時逆襲：襲い掛かられた　ARG:2が1なら実はドッペル
142		DC			遭遇時逆襲：襲い掛かった　ARG:2が1なら実はドッペル　※主人公ではなく、襲った側のキャラの口上
143		遭遇キャラ	遭遇時会話：喪失キャラに気付け薬を使った　ARG:2が0：使った時　1：仲間にした　2：仲間入りを断った
144		状況		遭遇時会話：喪失中に気付け薬を使われた　（ARG:1が0：そのまま立ち去る　1：仲間に入りたい　2：仲間に入った　3：断られた）　※主人公ではなく、助けられた側のキャラの口上
145		残り時間	寄生が進行　ARG:2に寄生されているキャラ　※寄生された本人以外の口上
146		残り時間	妊娠が進行　ARG:2に妊娠しているキャラ　※妊娠した本人以外の口上
147		状況		寄生・出産イベント　（ARG:1が　0：最初　1：産まれた　2：吸われた）　ARG:2に寄生されているキャラ　※寄生された本人以外の口上
148		状況		妊娠・出産イベント　（ARG:1が　0：最初　1：産まれた　2：吸われた）　ARG:2に妊娠しているキャラ　ARG:3に子供の種類　※妊娠した本人以外の口上
149		DC			部屋に結界を張った＋入浴

150		敵ID		捕食開始
151		敵ID		捕食されている　ARG:2に丸呑みフラグ
152		敵ID		捕食された　ARG:2に丸呑みフラグ
153		DC			リザレクション発生
154		DC			一回休み発生
155		DC			不死身発生
156		敵種類		敵ランクアップ
157		敵種類		ゲームオーバー
158		状況		主人公復活　（ARG:1が　0：助けてもらって復活　1：打ち捨てられて復活）
159		DC			ゲーム開始時（各種設定が終わって、MAPが表示される直前に全キャラに対して実行　口上独自の設定などにどうぞ）
160		DC			MAP表示時（日常？のつぶやきなどにどうぞ）
161		対象キャラ	好感度低下によるPT離脱　※抜けるキャラ側の口上
162		対象キャラ	好感度低下によるPT離脱　※PT側の口上
163		対象キャラ	遭遇時会話：アイテムプレゼント　ARG:2のアイテムをプレゼント　ARG:3が1だと実はドッペル　※主人公の口上
164		対象キャラ	遭遇時会話：アイテムプレゼント　ARG:2のアイテムをプレゼント　ARG:3が1だと実はドッペル　※貰った側の口上
165		遭遇キャラ	遭遇時会話：固定イベント情報取得　ARG:2にイベントID（100未満の場合、そのキャラが捕食されているという情報）　ARG:3に会話状況（0：雑談で聞いた　1：情報収集で聞いた） ※聞いた側(主人公の)口上

166		遭遇キャラ	遭遇時会話：喪失キャラを浄化した
167		DC			遭遇時会話：喪失中に浄化してもらった　※主人公ではなく、助けられた側のキャラの口上
168		偽装対象キャラ	ドッペルの偽装に気付いた ARG:2で状況（0は覚の、1～3は主人公の、4以上は仲間の口上）
169		状況		汚染度が高い部屋での覚持ちのMPダメージ

※イベントIDは固定イベントIDと同一
200		イベントID	ランダムイベント発生　ARG:2で同じイベントの詳細分岐
201		状況		EXイベント1（PT分断テレポート）　（ARG:1が　0：飛ばされる前　1：飛ばされた後）
202		対象キャラ	固定イベントID190～200専用　ARG:1のキャラの遺品（着替えセット＝服の一部とか替えの服）を入手　キャラ番号を見るならNO:(ARG:1)を見る事
203		DC			オープニング　※159の口上より早い段階で表示されます　主にストーリーの地の文改変のために使う事を想定しています　また、選択肢で表示するかどうか選べるため、飛ばされても問題ない内容はこっち、飛ばされたくない内容は159に書いてください
204		DC			エンディング１・仲間を囮にして逃げる　※主人公側の口上　地の文改変もこちらでどうぞ
205		DC			エンディング１・仲間を囮にして逃げる　※仲間側の口上　主人公側で色々改変している場合があるので、何も喋らない方が良いかも
206		DC			エンディング２・ガーディアン撃破　※主人公側の口上　地の文改変もこちらでどうぞ
207		DC			エンディング２・ガーディアン撃破　※仲間側の口上　主人公側で色々改変している場合があるので、何も喋らない方が良いかも
208		DC			エンディング３・転移門発見　※主人公側の口上　地の文改変もこちらでどうぞ
209		DC			エンディング３・転移門発見　※仲間側の口上　主人公側で色々改変している場合があるので、何も喋らない方が良いかも
210		DC			エンディング４・クイーン撃破　※主人公側の口上　地の文改変もこちらでどうぞ
211		DC			エンディング４・クイーン撃破　※仲間側の口上　主人公側で色々改変している場合があるので、何も喋らない方が良いかも
212		DC			エンディング５・クイーンソロ撃破　※主人公の口上(性質上味方口上は無い)　地の文改変もこちらでどうぞ
213		DC			転移門(光の渦)・ラスボス部屋に転送
214		DC			転移門(光の渦)・触手の巣に転送

※以下、外部パッチで利用されているもの
420
427
430
440
441
445		状況		状態異常・侵食発生及び進行
446		状況		状態異常・侵食のイベント
447		状況		悪堕ち関連　ARG:1が3と4の時にはARG:2に悪堕ちするキャラが入る
451		HP減少量	射精
452		DC		ふたなり解除
453		DC		ふたなり時戦闘中発情
454		DC		ふたなり永久化（射精中毒3で射精後）
455		使用部位	相手を犯して性欲発散（最初）　ARG:2に射精した回数　ARG:3に犯す相手
456		使用部位	相手を犯して性欲発散（455に便乗して）　ARG:2に射精した回数　ARG:3に犯す相手
457		使用部位	催眠状態の相手を犯して性欲発散　ARG:2に射精した回数　ARG:3に犯す相手
458		使用部位	性欲発散に使われた（最後に一言だけ）
459		使用部位	ふたなり治療される
460		状況		ふたなりで触手モンスターをおしおきする
461		使用部位	ふたなり治療をする　ARG:2に相手
502



